CustomerID,CustomerName,CustomerType,AccountManager,load_timestamp,source_file,pipeline_run_id
CUST001,BuildCo Construction,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST002,Metro Developments,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST003,Skyline Builders,Residential,Michael Chen,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST004,Foundation Works Ltd,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST005,Urban Infrastructure,Infrastructure,David Williams,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST006,Coastal Projects,Commercial,Michael Chen,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST007,Summit Construction,Residential,Michael Chen,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST008,Heritage Builders,Residential,David Williams,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST009,Modern Homes Ltd,Residential,David Williams,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST010,City Contractors,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST011,Regional Build Group,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST012,Premier Projects,Infrastructure,David Williams,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST013,Elite Construction,Commercial,Michael Chen,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST014,Quantum Developments,Residential,Michael Chen,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
CUST015,Apex Builders,Commercial,Sarah Johnson,2026-03-02 23:16:44.448621,Equipment_Hire_Dataset.xlsx,
